filename,ImageID,url,thumburl,hits,miss,fa,cr,HR,FAR,score,Number of edges,Entropy,Feature congestion,Number of distinct colors,Familiarity,Realism,Happiness,Clutter,Interestingness,Author,Paper Title,Paper URL,Paper DOI,First Page,Last Page,Year
sci180.png,I950,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci180.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci180.png,28,41,10,131,0.4058,0.0709,1.23,7.55,5.88,3.65,2,4.9,4.6,4.4,5.5,4.9,Mathias Hummel;Christoph Garth;Bernd Hamann;Hans Hagen;Kenneth I. Joy,IRIS: Illustrative Rendering for Integral Surfaces,http://dx.doi.org/10.1109/TVCG.2010.173,10.1109/TVCG.2010.173,1319,1328,2010
sci618.png,I1034,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci618.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci618.png,38,29,20,118,0.5672,0.1449,1.23,15.31,6.55,6.75,2,5.5,5,5.5,5.4,5.1,Tobias Günther;Holger Theisel,Vortex Cores of Inertial Particles,http://dx.doi.org/10.1109/TVCG.2014.2346415,10.1109/TVCG.2014.2346415,2535,2544,2014
sci994.png,I1122,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci994.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci994.png,27,48,9,149,0.36,0.057,1.22,7.57,7.19,4.21,4,3.5,4.4,3.8,4.5,3.9,Noeska N. Smit;Kai Lawonn;Annelot Kraima;Marco DeRuiter;Hessam Sokooti;Stefan Bruckner;Elmar Eisemann;Anna Vilanova,PelVis: Atlas-based Surgical Planning for Oncological Pelvic Surgery,http://dx.doi.org/10.1109/TVCG.2016.2598826,10.1109/TVCG.2016.2598826,741,750,2016
sci1028.png,I1126,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1028.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1028.png,38,34,18,124,0.5278,0.1268,1.21,13.28,6.98,7.88,3,3.5,3.2,3.8,5.9,4.1,Kui Wu;Aaron Knoll;Benjamin J. Isaac;Hamish Carr;Valerio Pascucci,Direct Multifield Volume Ray Casting of Fiber Surfaces,http://dx.doi.org/10.1109/TVCG.2016.2599040,10.1109/TVCG.2016.2599040,941,949,2016
sci231.png,I960,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci231.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci231.png,46,36,22,124,0.561,0.1507,1.19,4.3,4.01,1.73,2,4.8,5.3,5,5.3,5.3,Ahmed Saad;Ghassan Hamarneh;Torsten Möller,Exploration and Visualization of Segmentation Uncertainty using Shape and Appearance Prior Information,http://dx.doi.org/10.1109/TVCG.2010.152,10.1109/TVCG.2010.152,1366,1375,2010
sci678.png,I1046,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci678.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci678.png,22,49,6,125,0.3099,0.0458,1.19,4.22,3.87,3.41,3,5.4,4.6,5.3,5.4,5.8,Gustavo Mello Machado;Filip Sadlo;Thomas Müller;Thomas Ertl,Escape Maps,http://dx.doi.org/10.1109/TVCG.2014.2346442,10.1109/TVCG.2014.2346442,2604,2613,2014
sci773.png,I1072,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci773.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci773.png,16,69,3,157,0.1882,0.0188,1.19,9.4,6.51,10.38,5,4.4,4.8,4.6,4.8,5,Attila Gyulassy;Aaron Knoll;Kah Chun Lau;Bei Wang;Peer-Timo Bremer;Michael E. Papka;Larry A. Curtiss;Valerio Pascucci,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,http://dx.doi.org/10.1109/TVCG.2015.2467432,10.1109/TVCG.2015.2467432,916,925,2015
sci1039.png,I1129,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1039.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1039.png,31,44,12,139,0.4133,0.0795,1.19,7.96,5.6,4.37,3,3.8,4.5,4.1,4.5,4.5,"Subhashis Hazarika, Ayan Biswas, Han-Wei Shen",Uncertainty Visualization Using Copula-Based Analysis in Mixed Distribution Models,http://dx.doi.org/10.1109/TVCG.2017.2744099,10.1109/TVCG.2017.2744099,934,943,2017
sci98.png,I934,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci98.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci98.png,34,33,18,128,0.5075,0.1233,1.18,14.46,5.47,4.6,7,3,4.1,5.3,5.7,4.9,Çagatay Demiralp;John F. Hughes;David H. Laidlaw,Coloring 3D Line fields Using Boy's Real Projective Plane Immersion,http://dx.doi.org/10.1109/TVCG.2009.125,10.1109/TVCG.2009.125,1457,1464,2009
sci134.png,I940,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci134.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci134.png,25,48,10,162,0.3425,0.0581,1.17,6.63,5.5,1.39,2,4.5,4.8,4.8,5,4.9,Stéphane Marchesin;Guillaume Colin de Verdière,"High-Quality, Semi-Analytical Volume Rendering for AMR Data",http://dx.doi.org/10.1109/TVCG.2009.149,10.1109/TVCG.2009.149,1611,1618,2009
sci552.png,I1016,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci552.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci552.png,26,43,11,147,0.3768,0.0696,1.16,18.91,5.94,9.41,3,5.2,4.4,4.7,5.2,5.1,Andrzej Szymczak;Levente Sipeki,Visualization of Morse Connection Graphs for Topologically Rich 2D Vector fields,http://dx.doi.org/10.1109/TVCG.2013.229,10.1109/TVCG.2013.229,2763,2772,2013
sci619.png,I1035,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci619.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci619.png,50,40,25,136,0.5556,0.1553,1.15,11.22,6.18,5.7,2,5.4,5.6,5.3,5.1,5.5,Tobias Günther;Holger Theisel,Vortex Cores of Inertial Particles,http://dx.doi.org/10.1109/TVCG.2014.2346415,10.1109/TVCG.2014.2346415,2535,2544,2014
sci837.png,I1088,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci837.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci837.png,35,36,16,116,0.493,0.1212,1.15,19.74,6.09,3.41,3,3.6,3.9,4.2,4.8,4.8,David Schroeder;Daniel F. Keefe,Visualization-by-Sketching: An Artist's Interface for Creating Multivariate Time-Varying Data Visualizations,http://dx.doi.org/10.1109/TVCG.2015.2467153,10.1109/TVCG.2015.2467153,877,885,2015
sci749.png,I1064,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci749.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci749.png,37,35,19,123,0.5139,0.1338,1.14,9.07,3.63,4.73,4,5.2,4.6,4.2,4.2,4.3,Florian Ferstl;Kai Bürger;Rüdiger Westermann,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,http://dx.doi.org/10.1109/TVCG.2015.2467204,10.1109/TVCG.2015.2467204,767,776,2015
sci927.png,I1113,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci927.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci927.png,49,27,32,113,0.6447,0.2207,1.14,6.08,5.26,2.51,4,2.7,3.4,3.5,5.3,4,Michael Krone;Florian Friess;Katrin Scharnowski;Guido Reina;Silvia Fademrecht;Tobias Kulschewski;Jürgen Pleiss;Thomas Ertl,Molecular Surface Maps,http://dx.doi.org/10.1109/TVCG.2016.2598824,10.1109/TVCG.2016.2598824,701,710,2016
sci204.png,I956,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci204.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci204.png,26,50,9,135,0.3421,0.0625,1.13,4.73,4.66,2.03,4,4.8,4.4,5.3,5.2,5.5,Dirk J. Lehmann;Holger Theisel,Discontinuities in Continuous Scatterplots,http://dx.doi.org/10.1109/TVCG.2010.146,10.1109/TVCG.2010.146,1291,1300,2010
sci743.png,I1062,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci743.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci743.png,34,53,13,149,0.3908,0.0802,1.13,6.96,4.73,3.51,4,4.1,4.9,4.2,4.5,5.2,Florian Ferstl;Kai Bürger;Rüdiger Westermann,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,http://dx.doi.org/10.1109/TVCG.2015.2467204,10.1109/TVCG.2015.2467204,767,776,2015
