filename,url,data ink ratio,Number of distinct colors,Density,HR,FAR,Entropy,Feature congestion,meanH,meanS,meanV,colorfulness4,Number of edges,score,coarseness,contrast,directionality,0,L,C,H
treasuryK05_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryK05_1.png,3,2,1,52.27,9.09,2.52,3.94,0.1054,0.1093,0.8965,14.23,3.2,1.39,3.69,0.05,0.34,74,86.43788805,5.109553857,274.1706915
wsj220.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj220.png,1,1,1,62.22,14.14,3.09,4.13,0.4756,0.1505,0.9064,11.74,3.62,1.39,4.12,0.01,0.29,346,88.05171836,9.189323597,93.16371135
wsj540.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj540.png,2,2,2,48.15,7.53,4.16,4.53,0.1285,0.1098,0.9061,17.19,5.15,1.39,3.92,0.02,0.28,384,88.86480633,8.140049001,94.20069336
economist_daily_chart_110.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_110.png,1,1,1,77.53,26.53,4.05,4.42,0.1504,0.1389,0.9531,15.52,5.94,1.38,4.2,0.02,0.29,3,89.66471015,10.78573982,43.89590483
whoB05_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoB05_1.png,2,1,1,48.89,8,2.27,4.69,0.2237,0.1253,0.8519,13.17,4.41,1.38,3.75,0.06,0.31,254,81.71937054,11.55832854,324.4829969
economist_daily_chart_520.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_520.png,1,1,2,60.47,13.54,2.65,3.92,0.5574,0.1265,0.8671,16.65,5.31,1.37,3.72,0.01,0.32,43,83.79826372,6.741557143,239.825629
economist_daily_chart_53.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_53.png,2,1,1,45.98,7.07,3.27,4.88,0.0278,0.0203,0.9604,17.41,5.57,1.37,3.68,0.01,0.32,46,95.92096616,0.309784179,250.5204934
v485_n7399_9_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v485_n7399_9_f2.png,1,2,2,43.68,6.32,1.44,3.76,0.0628,0.05,0.9757,16.99,2.2,1.37,3.05,0.01,0.29,109,96.21030828,0.829984131,57.73554347
visMost240.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost240.png,2,3,2,54.65,10.64,4.21,4.69,0.097,0.033,0.8952,16.33,5.36,1.36,4.06,0.02,0.27,208,89.35962843,0.647097216,10.27215851
visMost52.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost52.jpeg,3,3,3,57.61,12.26,6.43,7.16,0.0964,0.0545,0.8548,16.06,10.01,1.35,3.6,0.03,0.31,229,85.34342896,1.393788643,96.68516296
